기간	자치구	동	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	성동구	금호1가동	506	188	1,701	782	919	441	1,070	26	270	12	221	27	140
2017	성동구	금호4가동	635	262	1,894	876	1,018	554	1,248	33	282	16	211	32	153
2017	성동구	성수1가1동	1,601	422	8,806	5,263	3,543	1,108	2,877	424	4,417	33	1,315	36	197
2017	성동구	성수1가2동	2,346	601	17,723	10,811	6,912	1,437	3,833	812	12,913	46	674	51	303
2017	성동구	성수2가1동	2,605	718	18,333	11,709	6,624	1,848	4,880	688	12,014	28	1,247	41	192
2017	성동구	성수2가3동	5,203	1,132	47,180	29,959	17,221	3,061	10,062	2,021	35,819	79	971	42	328
2017	성동구	송정동	692	188	2,393	1,402	991	604	1,222	59	577	17	552	12	42
2017	성동구	용답동	2,089	574	13,476	9,071	4,405	1,504	3,521	485	6,798	53	2,886	47	271
2017	성동구	왕십리도선동	2,079	829	11,017	5,074	5,943	1,735	4,861	249	4,704	43	834	52	618
2017	성동구	금호2.3가동	1,034	470	2,867	1,250	1,617	952	2,109	28	282	17	242	37	234
2017	성동구	옥수동	867	390	3,225	1,452	1,773	684	1,729	103	639	22	478	58	379
2017	광진구	소계	24,688	8,912	125,170	69,037	56,133	20,194	50,644	3,389	50,153	471	20,946	634	3,427
2017	광진구	화양동	2,437	880	15,265	7,838	7,427	2,065	6,467	281	2,714	52	5,947	39	137
2017	광진구	군자동	1,580	565	9,700	5,144	4,556	1,281	3,157	229	3,880	33	2,506	37	157
2017	광진구	중곡1동	1,612	547	6,629	3,777	2,852	1,365	3,289	190	2,583	17	563	40	194
2017	광진구	중곡2동	1,622	596	6,496	3,289	3,207	1,340	3,323	207	2,462	30	488	45	223
2017	광진구	중곡3동	1,330	494	5,380	2,961	2,419	1,181	2,974	95	1,443	16	690	38	273
2017	광진구	중곡4동	1,563	567	4,891	2,589	2,302	1,404	3,186	96	909	27	697	36	99
2017	광진구	능동	783	260	5,705	2,554	3,151	544	1,720	193	2,109	34	1,840	12	36
2017	광진구	구의1동	1,846	687	7,159	4,013	3,146	1,518	3,500	238	2,549	31	888	59	222
2017	광진구	구의2동	1,297	453	5,167	2,820	2,347	1,074	2,366	143	1,842	38	810	42	149
2017	광진구	구의3동	2,652	935	14,918	8,742	6,176	2,015	4,983	550	8,736	33	839	54	360
2017	광진구	광장동	1,419	516	16,535	10,721	5,814	949	2,681	366	11,758	44	1,385	60	711
2017	광진구	자양1동	1,711	629	8,543	4,802	3,741	1,434	3,701	205	2,985	28	1,594	44	263
2017	광진구	자양2동	1,487	484	6,271	3,530	2,741	1,229	2,548	180	1,948	32	1,517	46	258
2017	광진구	자양3동	1,353	552	6,183	2,821	3,362	1,059	2,649	221	2,519	24	793	49	222
2017	광진구	자양4동	1,996	747	6,328	3,436	2,892	1,736	4,100	195	1,716	32	389	33	123
2017	동대문구	소계	32,411	10,677	142,842	76,058	66,784	27,573	65,270	3,520	43,990	575	28,794	743	4,788
2017	동대문구	회기동	997	404	8,922	4,067	4,855	861	2,185	77	536	37	6,131	22	70
2017	동대문구	휘경1동	977	354	3,825	1,901	1,924	824	2,227	91	1,200	22	265	40	133
2017	동대문구	휘경2동	1,210	272	5,204	2,549	2,655	1,090	1,905	51	744	37	2,286	32	269
2017	동대문구	청량리동	1,679	600	8,818	4,798	4,020	1,437	3,548	127	1,980	57	2,753	58	537
2017	동대문구	용신동	5,640	1,733	33,713	18,202	15,511	4,571	11,376	876	15,912	115	5,911	78	514
2017	동대문구	제기동	4,750	1,657	12,275	6,860	5,415	4,267	8,578	353	2,229	48	929	82	539
2017	동대문구	전농1동	2,199	842	8,492	4,411	4,081	1,875	4,320	236	2,080	32	1,835	56	257
2017	동대문구	전농2동	894	320	5,038	2,660	2,378	763	1,658	50	563	32	2,560	49	257
2017	동대문구	답십리1동	1,961	558	7,131	3,827	3,304	1,659	3,522	219	2,453	30	645	53	511
2017	동대문구	답십리2동	2,186	584	7,251	4,387	2,864	1,831	4,373	266	2,230	22	173	67	475
2017	동대문구	장안1동	4,572	1,346	21,603	12,215	9,388	3,660	10,021	776	10,164	57	991	79	427
2017	동대문구	장안2동	3,164	1,188	11,590	5,330	6,260	2,766	7,550	303	2,815	34	768	61	457
2017	동대문구	이문1동	1,477	567	6,698	3,516	3,182	1,328	2,757	68	754	41	2,981	40	206
2017	동대문구	이문2동	705	252	2,282	1,335	947	641	1,250	27	330	11	566	26	136
2017	중랑구	소계	28,045	9,343	102,758	53,237	49,521	24,967	59,360	1,867	25,574	418	14,602	793	3,222
2017	중랑구	면목2동	2,035	662	6,440	3,364	3,076	1,843	4,706	130	1,236	20	390	42	108
2017	중랑구	면목4동	1,166	408	3,785	2,056	1,729	1,049	2,389	48	823	36	454	33	119
2017	중랑구	면목5동	850	257	2,865	1,680	1,185	757	1,838	66	865	7	75	20	87
2017	중랑구	면목7동	1,485	544	4,426	2,084	2,342	1,369	3,518	57	523	12	216	47	169
2017	중랑구	상봉1동	1,148	401	6,397	3,409	2,988	936	2,320	155	3,064	26	901	31	112
2017	중랑구	상봉2동	2,102	792	9,120	4,884	4,236	1,773	4,623	209	3,497	26	636	94	364
2017	중랑구	중화1동	1,096	374	3,929	1,645	2,284	948	2,406	79	787	21	490	48	246
2017	중랑구	중화2동	2,175	786	7,441	4,176	3,265	1,940	4,556	162	2,492	20	249	53	144
2017	중랑구	묵1동	1,513	537	5,749	2,732	3,017	1,313	3,159	116	1,556	34	837	50	197
2017	중랑구	묵2동	1,780	524	4,949	2,580	2,369	1,597	3,252	116	1,118	17	413	50	166
2017	중랑구	망우3동	1,115	376	3,914	1,880	2,034	1,026	2,764	55	747	10	327	24	76
2017	중랑구	신내1동	1,998	579	10,597	6,111	4,486	1,711	3,917	167	3,441	44	2,929	76	310
2017	중랑구	신내2동	1,115	418	5,966	2,841	3,125	933	2,171	125	998	26	2,594	31	203
2017	중랑구	면목본동	2,511	953	7,756	3,623	4,133	2,337	5,989	96	1,014	25	460	53	293
2017	중랑구	면목3.8동	2,100	751	7,089	3,513	3,576	1,920	4,438	94	913	29	1,584	57	154
2017	중랑구	망우본동	3,856	981	12,335	6,659	5,676	3,515	7,314	192	2,500	65	2,047	84	474
2017	성북구	소계	24,039	8,878	108,991	53,234	55,757	20,844	51,126	1,768	24,719	665	28,956	762	4,190
2017	성북구	돈암1동	389	135	1,802	960	842	329	703	23	551	12	422	25	126
2017	성북구	돈암2동	433	194	2,294	814	1,480	370	661	20	1,055	21	421	22	157
2017	성북구	안암동	1,456	452	12,813	5,425	7,388	1,078	2,947	249	1,812	84	7,883	45	171
2017	성북구	보문동	1,330	425	5,229	2,776	2,453	1,173	2,748	104	1,771	29	385	24	325
2017	성북구	정릉1동	753	283	2,064	981	1,083	675	1,542	32	285	15	100	31	137
2017	성북구	정릉2동	887	287	2,819	1,458	1,361	796	1,608	36	553	22	498	33	160
2017	성북구	정릉3동	677	255	4,302	2,355	1,947	549	1,077	36	490	41	2,526	51	209
2017	성북구	정릉4동	921	295	4,242	2,469	1,773	798	1,754	43	1,206	27	1,085	53	197
2017	성북구	길음1동	1,092	505	3,950	1,498	2,452	990	2,324	46	725	25	696	31	205
2017	성북구	길음2동	935	400	4,269	1,668	2,601	771	2,279	111	1,291	21	411	32	288
2017	성북구	월곡1동	1,351	467	5,039	2,499	2,540	1,194	2,801	80	1,142	36	850	41	246
2017	성북구	월곡2동	1,589	576	7,619	4,226	3,393	1,376	3,583	119	1,107	49	2,730	45	199
2017	성북구	장위1동	928	321	2,339	1,077	1,262	870	1,840	20	165	12	207	26	127
2017	성북구	장위2동	1,478	535	4,599	2,283	2,316	1,376	3,381	50	635	14	405	38	178
2017	성북구	장위3동	628	172	2,722	1,478	1,244	564	1,464	35	747	12	360	17	151
2017	성북구	성북동	1,132	457	5,170	2,561	2,609	834	2,263	180	1,790	65	905	53	212
2017	성북구	삼선동	1,906	764	10,312	4,942	5,370	1,628	3,889	163	2,111	65	4,061	50	251
2017	성북구	동선동	1,995	837	9,940	4,486	5,454	1,728	4,989	176	2,702	48	2,021	43	228
2017	성북구	종암동	2,022	781	7,350	3,615	3,735	1,822	4,447	103	1,214	36	1,300	61	389
2017	성북구	석관동	2,137	737	10,117	5,663	4,454	1,923	4,826	142	3,367	31	1,690	41	234
2017	강북구	소계	18,928	6,992	71,752	33,422	38,330	16,747	40,469	1,155	17,279	345	10,151	681	3,853
2017	강북구	번1동	1,836	725	9,166	3,876	5,290	1,511	4,094	260	3,931	23	831	42	310
2017	강북구	번2동	678	170	3,442	2,154	1,288	563	1,233	44	954	34	1,141	37	114
2017	강북구	번3동	912	231	2,959	1,675	1,284	810	1,701	41	665	28	450	33	143
2017	강북구	수유1동	1,432	577	5,090	2,380	2,710	1,285	2,700	54	1,088	30	1,045	63	257
2017	강북구	수유2동	1,339	491	4,179	1,853	2,326	1,190	2,798	44	742	19	243	86	396
2017	강북구	수유3동	2,446	1,005	9,009	3,915	5,094	2,192	5,743	180	1,844	29	1,260	45	162
2017	강북구	삼양동	1,186	430	3,743	1,556	2,187	1,069	2,290	31	403	22	479	64	571
2017	강북구	미아동	1,670	640	6,501	2,822	3,679	1,499	3,980	99	1,062	33	1,207	39	252
2017	강북구	송중동	1,962	732	8,026	3,418	4,608	1,696	4,656	176	2,200	35	851	55	319
2017	강북구	송천동	2,106	764	7,440	3,467	3,973	1,904	4,711	108	1,664	30	788	64	277
2017	강북구	삼각산동	775	319	2,337	930	1,407	713	1,589	22	172	9	393	31	183
2017	강북구	우이동	1,029	380	4,271	2,615	1,656	918	2,108	38	1,601	23	221	50	341
2017	강북구	인수동	1,557	528	5,589	2,761	2,828	1,397	2,866	58	953	30	1,242	72	528
2017	도봉구	소계	18,351	6,324	70,503	36,085	34,418	16,145	36,624	1,116	17,333	316	11,907	774	4,639
2017	도봉구	쌍문1동	890	310	3,852	1,710	2,142	776	1,799	43	545	27	1,336	44	172
2017	도봉구	쌍문2동	1,242	462	5,053	2,442	2,611	1,065	2,679	98	1,546	13	407	66	421
2017	도봉구	쌍문3동	971	352	4,015	1,996	2,019	858	2,031	63	605	15	1,258	35	121
2017	도봉구	쌍문4동	616	251	2,003	920	1,083	557	1,071	13	89	17	682	29	161
2017	도봉구	방학1동	2,266	924	10,787	5,692	5,095	1,963	5,030	166	2,912	38	2,269	99	576
2017	도봉구	방학2동	1,207	432	3,264	1,432	1,832	1,107	2,589	27	200	16	257	57	218
2017	도봉구	방학3동	872	272	3,242	1,635	1,607	777	1,749	32	587	14	410	49	496
2017	도봉구	창1동	1,413	428	4,207	2,115	2,092	1,289	2,667	63	709	18	603	43	228
2017	도봉구	창2동	1,356	472	4,348	2,305	2,043	1,240	2,931	52	771	13	399	51	247
2017	도봉구	창3동	929	327	2,199	995	1,204	862	1,553	23	185	9	199	35	262
2017	도봉구	창4동	1,277	434	7,384	3,800	3,584	1,022	2,628	163	3,029	39	1,289	53	438
2017	도봉구	창5동	2,133	522	7,148	3,753	3,395	1,888	4,074	149	1,980	29	759	67	335
2017	도봉구	도봉1동	1,714	624	6,135	3,543	2,592	1,482	3,302	115	1,855	33	676	84	302
2017	도봉구	도봉2동	1,465	514	6,866	3,747	3,119	1,259	2,521	109	2,320	35	1,363	62	662
2017	노원구	소계	26,516	9,401	117,859	55,762	62,097	22,865	54,088	2,077	29,902	565	26,327	1,009	7,542
2017	노원구	월계1동	1,488	532	6,121	3,540	2,581	1,321	2,930	76	1,230	26	1,484	65	477
2017	노원구	월계2동	944	236	3,464	1,957	1,507	833	1,472	52	643	24	1,150	35	199
2017	노원구	월계3동	963	325	3,943	1,975	1,968	847	1,648	69	1,145	17	721	30	429
2017	노원구	공릉2동	1,834	616	11,823	6,044	5,779	1,543	3,180	135	1,875	81	6,312	75	456
2017	노원구	하계1동	1,103	419	7,546	3,720	3,826	856	2,332	149	1,922	43	2,845	55	447
2017	노원구	하계2동	395	123	1,307	548	759	361	689	13	76	6	349	15	193
2017	노원구	중계본동	1,198	471	5,494	2,793	2,701	1,038	2,683	83	1,666	24	834	53	311
2017	노원구	중계1동	1,000	399	4,392	1,888	2,504	857	2,454	84	1,057	17	574	42	307
2017	노원구	중계4동	1,049	414	3,975	1,658	2,317	931	2,533	54	466	18	672	46	304
2017	노원구	상계1동	3,114	739	10,558	5,941	4,617	2,792	5,189	198	3,711	38	1,283	86	375
2017	노원구	상계2동	2,614	1,124	10,662	4,148	6,514	2,229	6,858	286	2,264	34	638	65	902
2017	노원구	상계5동	1,605	630	4,600	2,248	2,352	1,424	2,879	76	1,101	11	178	94	442
2017	노원구	상계8동	595	226	2,017	750	1,267	552	1,378	16	113	12	384	15	142
2017	노원구	상계9동	713	272	2,488	1,070	1,418	657	1,333	25	227	14	739	17	189
2017	노원구	상계10동	455	153	2,203	1,210	993	398	838	26	499	18	772	13	94
2017	노원구	상계3.4동	1,278	463	4,354	2,353	2,001	1,104	2,058	49	1,598	22	368	103	330
2017	노원구	상계6.7동	1,958	728	15,618	5,819	9,799	1,575	5,267	262	4,806	68	4,721	53	824
2017	노원구	중계2.3동	1,361	592	5,555	2,248	3,307	1,195	2,669	94	1,125	33	1,446	39	315
2017	노원구	공릉1동	2,849	939	11,739	5,852	5,887	2,352	5,698	330	4,378	59	857	108	806
2017	은평구	소계	24,561	9,413	88,818	41,845	46,973	21,442	47,784	1,689	20,204	547	16,567	883	4,263
2017	은평구	녹번동	1,895	609	9,439	4,788	4,651	1,498	3,485	188	1,940	108	3,460	101	554
2017	은평구	불광1동	1,677	722	6,733	2,582	4,151	1,473	3,437	109	1,850	33	1,161	62	285
2017	은평구	갈현1동	1,457	582	5,184	2,166	3,018	1,303	3,180	91	1,362	18	444	45	198
2017	은평구	갈현2동	1,596	670	5,828	2,377	3,451	1,442	3,482	80	868	29	1,002	45	476
2017	은평구	구산동	1,205	405	5,233	2,361	2,872	1,050	1,915	56	933	36	1,913	63	472
2017	은평구	대조동	2,530	1,187	7,921	3,259	4,662	2,277	5,591	177	1,239	23	844	53	247
2017	은평구	응암1동	1,600	662	7,261	3,438	3,823	1,313	3,660	194	2,549	39	853	54	199
2017	은평구	응암2동	654	269	2,011	866	1,145	598	1,218	16	82	14	599	26	112
2017	은평구	신사1동	1,290	467	4,069	2,080	1,989	1,137	2,520	78	903	27	475	48	171
2017	은평구	신사2동	1,691	288	3,612	2,295	1,317	1,600	2,360	32	492	25	590	34	170
2017	은평구	증산동	1,017	389	3,555	2,043	1,512	859	1,751	94	1,306	22	361	42	137
2017	은평구	수색동	625	213	2,476	1,636	840	535	905	48	977	24	482	18	112
2017	은평구	진관동	1,648	649	8,664	4,085	4,579	1,276	3,303	233	2,818	51	2,083	88	460
2017	은평구	불광2동	1,321	586	4,429	1,939	2,490	1,169	2,564	56	663	36	971	60	231
2017	은평구	응암3동	1,844	768	4,934	2,186	2,748	1,679	3,560	75	548	33	625	57	201
2017	은평구	역촌동	2,511	947	7,469	3,744	3,725	2,233	4,853	162	1,674	29	704	87	238
2017	서대문구	소계	19,852	7,417	111,117	55,668	55,449	16,323	37,822	2,194	34,583	660	35,299	675	3,413
2017	서대문구	천연동	941	381	2,898	1,411	1,487	813	1,616	45	273	41	810	42	199
2017	서대문구	홍제1동	1,163	474	4,679	2,491	2,188	986	2,318	86	1,132	24	960	67	269
2017	서대문구	홍제3동	1,201	511	3,730	1,667	2,063	1,086	2,397	50	517	26	566	39	250
2017	서대문구	홍제2동	594	258	1,751	828	923	500	1,131	32	168	26	337	36	115
2017	서대문구	홍은1동	964	354	2,521	1,213	1,308	833	1,495	62	449	26	360	43	217
2017	서대문구	홍은2동	1,176	383	5,405	2,941	2,464	1,000	2,262	81	1,350	36	1,494	59	299
2017	서대문구	남가좌1동	797	366	2,197	788	1,409	720	1,606	40	187	15	263	22	141
