기간	자치구	동	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	양천구	신정6동	758	327	6,407	2,834	3,573	591	1,614	107	1,088	32	3,381	28	324
2017	양천구	신정7동	1,024	371	4,837	2,614	2,223	870	2,151	80	811	33	1,595	41	280
2017	양천구	목5동	1,537	682	9,883	4,392	5,491	1,223	2,987	227	2,589	38	3,775	49	532
2017	양천구	신정4동	3,043	1,148	14,954	8,034	6,920	2,502	7,583	381	5,875	66	1,036	94	460
2017	강서구	소계	36,556	12,762	234,394	130,005	104,389	28,310	70,367	6,333	136,604	700	20,739	1,213	6,684
2017	강서구	염창동	2,126	715	16,513	9,919	6,594	1,416	3,744	581	11,067	40	1,372	89	330
2017	강서구	등촌1동	1,892	663	15,709	9,125	6,584	1,247	3,514	548	10,891	33	1,041	64	263
2017	강서구	등촌2동	737	261	3,766	1,779	1,987	608	1,390	65	1,353	25	893	39	130
2017	강서구	등촌3동	2,657	989	23,388	11,198	12,190	1,809	5,543	692	14,299	68	2,606	88	940
2017	강서구	화곡본동	1,356	531	4,073	1,736	2,337	1,215	2,966	69	524	25	364	47	219
2017	강서구	화곡2동	848	319	2,465	1,231	1,234	738	1,393	80	674	3	201	27	197
2017	강서구	화곡3동	1,212	505	4,827	2,207	2,620	1,055	2,637	109	1,799	16	319	32	72
2017	강서구	화곡4동	1,482	593	3,728	1,819	1,909	1,330	2,574	87	649	19	443	46	62
2017	강서구	화곡6동	1,846	677	10,871	5,922	4,949	1,475	4,391	272	4,026	54	2,259	45	195
2017	강서구	화곡8동	1,259	508	4,007	1,743	2,264	1,141	2,514	55	690	21	423	42	380
2017	강서구	가양1동	3,512	1,017	35,037	23,329	11,708	2,132	6,458	1,249	27,519	67	761	64	299
2017	강서구	가양2동	595	208	3,590	1,799	1,791	426	1,267	92	1,160	31	813	46	350
2017	강서구	가양3동	907	196	7,967	4,815	3,152	506	1,277	352	5,529	23	867	26	294
2017	강서구	발산1동	2,340	771	12,646	6,970	5,676	1,796	4,717	419	5,248	53	2,217	72	464
2017	강서구	공항동	2,096	718	37,599	20,423	17,176	1,526	3,621	453	31,669	48	1,977	69	332
2017	강서구	방화1동	2,677	990	10,176	4,788	5,388	2,277	5,454	256	2,987	35	909	109	826
2017	강서구	방화2동	3,318	904	15,126	9,381	5,745	2,735	4,750	459	9,115	42	917	82	344
2017	강서구	방화3동	908	269	4,516	2,525	1,991	722	1,534	114	1,754	32	995	40	233
2017	강서구	화곡1동	3,104	1,212	11,276	6,162	5,114	2,725	6,595	228	3,652	31	616	120	413
2017	강서구	우장산동	1,684	716	7,114	3,134	3,980	1,431	4,028	153	1,999	34	746	66	341
2017	구로구	소계	38,405	11,298	213,468	122,446	91,022	28,145	66,527	8,729	122,339	659	18,600	872	6,002
2017	구로구	신도림동	2,864	943	15,345	7,455	7,890	2,109	5,672	653	8,628	44	714	58	331
2017	구로구	구로1동	736	266	3,105	1,503	1,602	618	1,349	78	1,107	13	504	27	145
2017	구로구	구로3동	7,227	1,573	83,892	52,672	31,220	2,971	10,206	4,000	70,274	172	2,383	84	1,029
2017	구로구	구로4동	2,042	937	5,162	2,256	2,906	1,794	3,578	143	704	45	546	60	334
2017	구로구	구로5동	4,907	1,358	27,070	14,876	12,194	3,720	7,727	1,015	15,932	78	2,173	94	1,238
2017	구로구	고척1동	2,590	707	9,541	5,577	3,964	2,162	5,420	337	2,544	35	1,279	56	298
2017	구로구	고척2동	1,407	523	3,918	1,938	1,980	1,258	2,604	74	503	24	586	51	225
2017	구로구	개봉2동	1,170	443	3,247	1,457	1,790	1,073	2,443	46	510	10	140	41	154
2017	구로구	개봉3동	990	392	5,743	2,776	2,967	882	1,760	55	3,446	16	350	37	187
2017	구로구	오류1동	1,125	414	4,610	2,382	2,228	965	2,130	104	1,899	18	341	38	240
2017	구로구	오류2동	1,575	522	7,814	4,515	3,299	1,297	3,125	139	1,560	58	2,705	81	424
2017	구로구	수궁동	1,266	360	5,886	3,765	2,121	1,014	2,217	147	2,231	36	1,231	69	207
2017	구로구	가리봉동	986	449	2,783	1,210	1,573	895	1,708	45	309	17	316	29	450
2017	구로구	구로2동	7,816	1,766	29,888	17,571	12,317	5,879	13,219	1,791	11,559	63	4,585	83	525
2017	구로구	개봉1동	1,704	645	5,464	2,493	2,971	1,508	3,369	102	1,133	30	747	64	215
2017	금천구	소계	31,750	8,611	228,000	142,168	85,832	20,307	54,586	10,281	159,968	531	10,311	631	3,135
2017	금천구	가산동	14,339	2,999	157,491	102,212	55,279	5,984	19,959	7,998	133,653	266	3,300	91	579
2017	금천구	독산1동	4,085	1,168	24,308	14,977	9,331	2,972	8,922	977	13,498	66	1,323	70	565
2017	금천구	독산2동	1,194	463	3,584	1,789	1,795	1,061	2,406	64	708	16	307	53	163
2017	금천구	독산3동	2,174	801	8,040	4,479	3,561	1,970	4,877	106	2,229	36	696	62	238
2017	금천구	독산4동	1,018	408	3,286	1,573	1,713	920	2,298	43	508	16	316	39	164
2017	금천구	시흥1동	3,023	1,216	13,776	6,639	7,137	2,581	6,320	277	4,520	44	2,412	121	524
2017	금천구	시흥2동	577	174	2,005	774	1,231	508	946	16	94	16	664	37	301
2017	금천구	시흥3동	3,325	612	10,223	7,327	2,896	2,510	5,403	756	4,102	29	614	30	104
2017	금천구	시흥4동	855	292	1,975	856	1,119	770	1,343	10	72	24	361	51	199
2017	금천구	시흥5동	1,160	478	3,312	1,542	1,770	1,031	2,112	34	584	18	318	77	298
2017	영등포구	소계	43,163	12,955	362,800	210,507	152,293	30,722	74,751	10,299	236,442	1,219	44,918	923	6,689
2017	영등포구	여의동	8,082	2,277	150,277	92,142	58,135	3,628	11,784	3,754	109,986	491	26,156	209	2,351
2017	영등포구	당산1동	3,153	981	19,916	10,857	9,059	2,303	5,384	691	10,557	108	3,745	51	230
2017	영등포구	당산2동	2,245	729	20,112	10,869	9,243	1,477	4,374	665	14,223	69	1,281	34	234
2017	영등포구	양평1동	3,114	526	23,033	13,355	9,678	2,344	4,725	682	17,256	47	750	41	302
2017	영등포구	양평2동	2,102	592	18,290	11,462	6,828	1,282	3,637	736	13,623	44	772	40	258
2017	영등포구	신길1동	1,157	444	6,772	3,867	2,905	994	2,125	94	3,365	34	900	35	382
2017	영등포구	신길3동	1,555	396	3,105	1,793	1,312	1,462	2,196	49	509	17	229	27	171
2017	영등포구	신길4동	484	163	1,637	725	912	432	922	27	360	7	129	18	226
2017	영등포구	신길5동	604	208	2,753	1,653	1,100	507	1,029	51	785	21	825	25	114
2017	영등포구	신길6동	1,282	488	4,564	2,120	2,444	1,084	2,445	115	1,310	33	545	50	264
2017	영등포구	신길7동	594	222	2,615	1,372	1,243	460	1,130	91	754	26	671	17	60
2017	영등포구	대림1동	1,094	427	4,347	1,780	2,567	937	2,258	89	503	25	1,371	43	215
2017	영등포구	대림2동	1,415	645	4,615	2,062	2,553	1,292	3,131	80	1,097	17	302	26	85
2017	영등포구	대림3동	2,140	720	9,929	5,551	4,378	1,739	4,194	305	4,539	31	855	65	341
2017	영등포구	영등포본동	1,482	618	5,520	2,605	2,915	1,200	2,731	203	1,538	32	1,016	47	235
2017	영등포구	영등포동	6,320	2,071	39,149	20,116	19,033	4,873	11,751	1,236	22,883	127	4,008	84	507
2017	영등포구	도림동	1,052	348	3,638	2,241	1,397	887	1,741	114	1,617	14	62	37	218
2017	영등포구	문래동	5,288	1,100	42,528	25,937	16,591	3,821	9,194	1,317	31,537	76	1,301	74	496
2017	동작구	소계	19,966	7,824	110,422	53,384	57,038	16,785	40,820	1,900	42,375	520	22,887	761	4,340
2017	동작구	노량진2동	1,634	573	6,715	3,632	3,083	1,437	3,353	141	2,026	23	1,200	33	136
2017	동작구	상도1동	1,697	678	8,757	4,447	4,310	1,422	3,668	159	1,565	50	3,193	66	331
2017	동작구	상도2동	1,344	588	5,059	2,311	2,748	1,159	2,945	104	880	35	761	46	473
2017	동작구	상도3동	1,017	385	2,937	1,413	1,524	921	2,085	39	424	16	276	41	152
2017	동작구	상도4동	934	340	2,787	1,233	1,554	841	1,682	29	292	22	646	42	167
2017	동작구	사당1동	1,856	677	10,295	4,886	5,409	1,447	3,717	318	5,626	43	659	48	293
2017	동작구	사당3동	959	342	4,219	2,133	2,086	778	1,724	76	1,241	35	944	70	310
2017	동작구	사당4동	664	262	1,791	815	976	588	1,236	31	215	13	235	32	105
2017	동작구	사당5동	508	159	1,738	936	802	423	946	39	299	19	420	27	73
2017	동작구	대방동	1,734	638	12,303	6,852	5,451	1,386	3,657	224	6,306	64	2,039	60	301
2017	동작구	신대방1동	1,052	441	4,104	2,125	1,979	881	2,020	110	1,348	23	584	38	152
2017	동작구	신대방2동	1,238	466	23,348	10,395	12,953	894	2,520	221	15,800	49	4,289	74	739
2017	동작구	흑석동	1,514	684	10,524	4,882	5,642	1,295	2,881	106	1,257	59	6,096	54	290
2017	동작구	노량진1동	2,148	910	9,368	4,622	4,746	1,900	4,716	159	3,323	41	1,045	48	284
2017	동작구	사당2동	1,667	681	6,477	2,702	3,775	1,413	3,670	144	1,773	28	500	82	534
2017	관악구	소계	26,374	9,756	115,390	60,398	54,992	22,809	55,818	2,064	34,304	578	19,112	923	6,156
2017	관악구	보라매동	1,407	605	7,026	3,553	3,473	1,145	2,560	190	3,584	32	730	40	152
2017	관악구	청림동	446	199	1,262	532	730	412	961	14	130	3	55	17	116
2017	관악구	행운동	1,480	603	6,467	2,941	3,526	1,275	3,196	116	1,396	38	600	51	1,275
2017	관악구	낙성대동	1,323	436	7,768	4,392	3,376	1,060	3,479	186	3,369	37	763	40	157
2017	관악구	중앙동	1,028	353	4,941	2,290	2,651	867	2,491	115	2,027	10	153	36	270
2017	관악구	인헌동	1,025	416	4,017	1,867	2,150	906	2,047	76	1,549	15	270	28	151
2017	관악구	남현동	846	332	4,905	2,610	2,295	683	1,747	109	2,750	30	339	24	69
2017	관악구	서원동	1,312	526	7,024	3,207	3,817	1,104	3,847	150	2,495	26	298	32	384
2017	관악구	신원동	847	353	2,355	983	1,372	780	1,577	22	188	7	322	38	268
2017	관악구	서림동	1,311	332	3,331	2,074	1,257	1,228	2,198	36	613	12	234	35	286
2017	관악구	신사동	1,384	515	4,721	2,498	2,223	1,241	3,147	89	1,143	16	224	38	207
2017	관악구	신림동	1,659	706	5,964	3,051	2,913	1,514	4,308	108	1,193	13	363	24	100
2017	관악구	난향동	426	145	2,144	1,006	1,138	374	785	18	858	9	340	25	161
2017	관악구	조원동	2,215	739	7,919	4,533	3,386	1,950	4,642	183	2,396	28	622	54	259
2017	관악구	대학동	1,669	624	12,981	7,113	5,868	1,326	3,002	159	1,759	124	7,672	60	548
2017	관악구	은천동	1,640	582	7,316	3,987	3,329	1,379	3,392	150	2,666	37	774	74	484
2017	관악구	성현동	877	314	2,928	1,353	1,575	772	1,621	36	563	12	497	57	247
2017	관악구	청룡동	1,856	721	11,363	6,642	4,721	1,523	4,191	199	3,680	57	3,253	77	239
2017	관악구	난곡동	973	311	2,426	1,162	1,264	903	1,762	12	105	16	408	42	151
2017	관악구	삼성동	1,052	369	2,338	1,209	1,129	954	1,451	14	134	29	494	55	259
2017	관악구	미성동	1,598	575	6,194	3,395	2,799	1,413	3,414	82	1,706	27	701	76	373
2017	서초구	소계	46,207	14,783	436,763	262,455	174,308	28,787	84,943	14,399	295,372	2,040	50,507	981	5,941
2017	서초구	서초1동	3,612	950	34,095	21,071	13,024	2,059	6,248	1,263	23,416	211	4,009	79	422
2017	서초구	서초2동	4,356	1,200	53,006	35,427	17,579	2,131	6,223	1,937	41,592	172	4,571	116	620
2017	서초구	서초3동	7,525	1,852	78,122	45,961	32,161	4,226	13,611	2,469	46,335	691	17,035	139	1,141
2017	서초구	서초4동	2,869	923	27,550	13,655	13,895	1,994	9,134	679	16,025	145	1,960	51	431
2017	서초구	잠원동	2,137	735	17,616	10,488	7,128	1,417	4,054	617	12,569	47	572	56	421
2017	서초구	반포본동	682	377	2,652	1,212	1,440	587	1,239	71	739	17	579	7	95
2017	서초구	반포1동	1,508	572	9,952	5,586	4,366	1,094	3,349	366	5,889	29	567	19	147
2017	서초구	반포2동	455	217	2,670	1,292	1,378	349	939	67	629	22	779	17	323
2017	서초구	반포3동	969	429	7,480	3,921	3,559	754	2,074	161	4,403	26	725	28	278
2017	서초구	반포4동	3,586	1,692	30,004	14,431	15,573	2,629	7,935	846	15,331	77	6,357	34	381
2017	서초구	방배본동	1,583	598	8,705	5,006	3,699	1,163	2,975	349	5,052	27	385	44	293
2017	서초구	방배1동	1,805	642	17,008	9,657	7,351	1,158	3,279	541	12,909	62	672	44	148
2017	서초구	방배2동	1,977	666	18,695	10,232	8,463	1,375	3,501	494	13,078	54	1,981	54	135
2017	서초구	방배3동	1,196	385	14,893	10,087	4,806	702	2,481	367	10,294	80	1,885	47	233
2017	서초구	방배4동	2,396	801	14,199	7,663	6,536	1,635	4,121	625	8,776	79	1,102	57	200
2017	서초구	양재1동	3,599	1,086	43,639	28,690	14,949	2,046	5,740	1,303	34,393	145	3,069	105	437
2017	서초구	양재2동	5,271	1,430	49,006	33,185	15,821	2,977	6,806	2,110	39,657	122	2,397	62	146
2017	서초구	내곡동	681	228	7,471	4,891	2,580	491	1,234	134	4,285	34	1,862	22	90
2017	강남구	소계	72,511	22,549	679,047	379,008	300,039	41,571	138,832	27,660	474,193	2,110	58,666	1,170	7,356
2017	강남구	신사동	4,365	1,561	26,783	12,437	14,346	2,883	11,198	1,401	14,727	49	659	32	199
2017	강남구	논현1동	5,578	1,618	40,669	21,624	19,045	3,251	11,211	2,177	28,234	93	969	57	255
2017	강남구	논현2동	5,542	1,655	59,822	34,515	25,307	2,891	10,195	2,403	45,070	195	4,275	53	282
2017	강남구	삼성1동	4,169	1,218	62,947	36,690	26,257	1,798	6,544	2,171	51,486	131	4,504	69	413
2017	강남구	삼성2동	3,740	1,100	42,389	24,390	17,999	1,933	5,648	1,590	31,928	122	4,483	95	330
2017	강남구	대치1동	1,133	477	7,278	3,203	4,075	848	3,130	234	2,850	30	1,116	21	182
2017	강남구	대치4동	3,699	1,238	29,228	17,054	12,174	2,452	8,005	1,079	19,511	97	1,445	71	267
2017	강남구	역삼1동	15,590	4,218	146,000	85,167	60,833	7,578	27,247	7,184	103,867	647	14,161	181	725
2017	강남구	역삼2동	3,480	1,004	40,049	22,189	17,860	1,745	5,522	1,551	31,485	131	2,707	53	335
2017	강남구	도곡1동	1,688	531	15,994	9,305	6,689	1,046	3,394	540	9,447	41	2,798	61	355
2017	강남구	도곡2동	1,858	642	22,508	13,505	9,003	988	3,230	791	17,317	43	1,669	36	292
2017	강남구	개포1동	467	167	1,460	961	499	422	604	23	527	9	154	13	175
2017	강남구	개포4동	2,182	604	11,888	7,675	4,213	1,332	3,462	761	7,480	50	742	39	204
2017	강남구	일원본동	448	217	8,210	2,291	5,919	353	818	32	439	29	6,623	34	330
2017	강남구	일원1동	2,162	348	7,064	4,388	2,676	1,937	3,129	164	3,212	27	557	34	166
2017	강남구	일원2동	646	237	8,831	6,379	2,452	434	857	137	5,064	38	2,638	37	272
2017	강남구	수서동	1,527	378	17,219	10,460	6,759	709	1,932	723	13,987	60	980	35	320
2017	강남구	세곡동	1,025	338	5,389	2,976	2,413	815	2,067	149	1,801	33	1,264	28	257
2017	강남구	압구정동	4,131	1,597	28,141	12,094	16,047	2,699	10,798	1,340	15,908	51	770	41	665
2017	강남구	청담동	4,432	1,770	39,229	18,686	20,543	2,740	12,173	1,533	25,109	86	1,608	73	339
2017	강남구	대치2동	3,965	1,320	54,807	31,685	23,122	2,166	6,337	1,602	44,098	122	3,739	75	633
2017	강남구	개포2동	684	311	3,142	1,334	1,808	551	1,331	75	646	26	805	32	360
2017	송파구	소계	46,676	15,751	329,447	198,578	130,869	33,513	86,778	10,952	197,654	994	36,261	1,217	8,754
2017	송파구	풍납1동	752	291	2,611	1,225	1,386	659	1,356	53	831	16	240	24	184
2017	송파구	풍납2동	1,168	426	15,033	5,943	9,090	961	2,691	112	2,556	44	9,501	51	285
2017	송파구	거여1동	839	270	3,732	1,944	1,788	712	1,631	77	1,440	13	284	37	377
2017	송파구	거여2동	905	295	4,088	2,154	1,934	777	1,730	68	1,445	18	371	42	542
2017	송파구	마천1동	960	332	2,333	1,181	1,152	855	1,497	34	310	20	229	51	297
2017	송파구	마천2동	1,352	475	4,337	2,460	1,877	1,172	2,334	81	1,026	29	597	70	380
2017	송파구	방이1동	1,382	517	9,915	6,097	3,818	1,030	2,993	287	6,162	26	555	39	205
2017	송파구	방이2동	2,940	960	21,081	13,922	7,159	2,013	5,902	810	13,957	63	632	54	590
2017	송파구	오륜동	522	235	4,455	2,333	2,122	349	729	43	849	96	2,616	34	261
2017	송파구	오금동	2,378	758	15,311	8,751	6,560	1,806	4,325	454	9,186	42	1,482	76	318
2017	송파구	송파1동	2,535	808	14,100	8,803	5,297	1,986	4,587	464	7,860	37	566	48	1,087
2017	송파구	송파2동	893	382	4,134	2,141	1,993	728	1,531	110	1,772	16	567	39	264
2017	송파구	석촌동	2,570	903	15,121	8,729	6,392	1,964	5,615	504	8,826	29	272	73	408
2017	송파구	삼전동	2,080	744	14,428	10,003	4,425	1,650	4,064	322	9,232	39	830	69	302
2017	송파구	가락본동	3,587	1,122	26,403	16,563	9,840	2,271	6,824	1,128	15,628	84	3,530	104	421
2017	송파구	가락1동	2,800	671	10,718	7,556	3,162	842	1,895	1,877	8,051	44	638	37	134
2017	송파구	가락2동	1,869	699	9,696	5,283	4,413	1,469	3,771	313	5,139	26	407	61	379
2017	송파구	문정1동	1,370	485	9,087	5,824	3,263	1,047	2,412	265	5,950	21	558	37	167
2017	송파구	문정2동	5,153	1,292	41,271	28,035	13,236	3,233	7,663	1,813	30,810	79	2,461	28	337
2017	송파구	장지동	1,388	454	10,344	6,897	3,447	1,087	2,644	186	6,269	36	1,152	79	279
2017	송파구	위례동	533	236	3,457	2,019	1,438	443	1,398	59	1,634	10	289	21	136
2017	송파구	잠실본동	3,037	1,103	22,895	13,577	9,318	2,328	7,722	618	14,531	38	353	53	289
2017	송파구	잠실4동	495	247	1,957	733	1,224	440	1,212	28	221	15	345	12	179
2017	송파구	잠실6동	2,620	801	46,806	29,549	17,257	1,698	4,701	809	36,505	86	5,372	27	228
2017	송파구	잠실7동	202	105	1,244	542	702	168	300	17	336	10	495	7	113
2017	송파구	잠실2동	757	362	4,563	2,144	2,419	619	1,928	78	959	32	1,353	28	323
2017	송파구	잠실3동	1,589	778	10,327	4,170	6,157	1,206	3,323	342	6,169	25	566	16	269
2017	강동구	소계	29,952	10,466	146,512	77,578	68,934	25,439	61,575	3,195	60,815	509	19,940	809	4,182
2017	강동구	강일동	955	280	14,962	11,279	3,683	770	1,862	117	11,521	31	1,453	37	126
2017	강동구	상일동	976	277	5,538	2,882	2,656	815	1,597	86	786	37	2,871	38	284
2017	강동구	명일1동	1,665	734	6,341	2,682	3,659	1,475	3,789	123	1,501	25	605	42	446
2017	강동구	명일2동	1,134	481	4,752	2,040	2,712	965	2,933	124	1,089	14	403	31	327
2017	강동구	고덕1동	714	282	2,390	1,133	1,257	633	1,213	35	255	19	838	27	84
2017	강동구	고덕2동	1,666	228	3,034	2,104	930	1,591	2,049	23	223	28	715	24	47
2017	강동구	암사2동	864	316	5,290	2,452	2,838	737	1,748	92	3,165	15	316	20	61
2017	강동구	암사3동	614	222	2,121	1,060	1,061	546	1,168	37	428	9	459	22	66
2017	강동구	천호1동	1,575	513	6,253	3,190	3,063	1,381	3,098	128	2,136	30	834	36	185
2017	강동구	천호3동	1,859	692	7,527	3,882	3,645	1,570	3,821	203	3,212	33	286	53	208
2017	강동구	성내1동	2,102	623	22,241	12,143	10,098	1,496	4,105	497	13,882	56	4,056	53	198
2017	강동구	성내2동	1,952	750	7,860	3,519	4,341	1,677	4,346	203	2,941	22	224	50	349
2017	강동구	성내3동	2,427	910	9,289	4,746	4,543	2,033	5,075	315	3,796	26	199	53	219
2017	강동구	둔촌1동	102	16	540	337	203	83	115	10	122	6	298	3	5
2017	강동구	둔촌2동	1,627	561	9,182	4,666	4,516	1,325	3,158	195	3,142	35	2,556	72	326
2017	강동구	암사1동	1,936	689	5,684	3,063	2,621	1,747	3,852	109	1,150	23	440	57	242
2017	강동구	천호2동	3,730	1,466	14,996	7,135	7,861	3,122	8,386	478	5,221	49	885	81	504
2017	강동구	길동	4,054	1,426	18,512	9,265	9,247	3,473	9,260	420	6,245	51	2,502	110	505
